RegionID, CentroidX, CentroidY, CentroidZ, Volume
00486, 448.53, 215.61, 169.54, 106854
00495, 442.19, 223.80, 171.46, 89536
00504, 450.79, 217.08, 175.93, 80578
00726, 423.33, 199.69, 180.83, 314354
10703, 417.06, 187.51, 179.52, 178931
10704, 439.68, 235.40, 186.46, 61939
00632, 420.98, 199.23, 179.29, 73483
10702, 423.33, 199.69, 180.83, 314354
00734, NaN, 284.00, 203.00, 1
00742, NaN, 284.00, 203.00, 1
00751, NaN, 284.00, 203.00, 1
00758, NaN, 284.00, 203.00, 1
00766, 423.33, 199.69, 180.83, 314354
00775, 423.33, 199.69, 180.83, 314354
00782, 423.33, 199.69, 180.83, 314354
00790, 423.33, 199.69, 180.83, 314354
00799, 423.33, 199.69, 180.83, 314354
00807, 423.33, 199.69, 180.83, 314354
00815, 423.33, 199.69, 180.83, 314354
00823, 423.33, 199.69, 180.83, 314354
00982, 331.98, 148.34, 162.62, 4274
00019, 331.88, 168.97, 122.26, 2873
00822, 494.04, 241.32, 201.02, 1053611
00909, 522.67, 265.25, 201.90, 582382
00918, 536.48, 269.67, 197.83, 416813
01121, 550.25, 283.24, 197.61, 79304
00020, 559.23, 288.53, 174.33, 2947
00999, 548.61, 276.03, 170.10, 9364
00715, 543.91, 279.87, 201.34, 42094
00764, 541.92, 278.38, 200.44, 45352
00052, 537.39, 265.36, 200.88, 63140
00092, 534.72, 270.16, 199.05, 26515
00312, 537.86, 276.50, 164.56, 12164
00139, 527.13, 262.11, 199.63, 62821
00387, 536.48, 269.67, 197.83, 416813
00028, 517.68, 247.82, 202.29, 64948
00060, 526.13, 276.49, 180.55, 8164
00926, 489.43, 245.14, 214.13, 150679
00526, 490.47, 263.50, 215.07, 39197
00543, 486.94, 246.77, 215.19, 40003
00468, 502.76, 325.48, 200.46, 944
00508, 503.43, 321.08, 200.50, 780
00664, 493.09, 229.54, 216.48, 34203
00712, 491.89, 241.19, 213.02, 4476
00727, 486.64, 241.75, 210.34, 10329
00550, 489.43, 245.14, 214.13, 150679
00743, 485.93, 229.07, 209.70, 20747
00934, 480.79, 345.01, 191.89, 14890
00259, 480.43, 350.90, 192.04, 6954
00324, 481.71, 341.79, 191.02, 6085
00371, 478.79, 333.81, 194.15, 1798
00419, 480.79, 345.01, 191.89, 14890
01133, 487.42, 322.66, 196.00, 53
00843, 463.24, 234.05, 210.48, 55755
10693, 463.24, 234.05, 210.48, 55755
10694, 458.26, 232.95, 210.97, 41204
10695, 477.56, 237.19, 209.09, 14551
01037, 426.21, 146.26, 207.70, 51155
10696, 428.48, 160.27, 208.87, 14898
10697, 449.83, 164.26, 221.56, 468
10698, 424.95, 140.19, 207.03, 35789
01084, 447.15, 186.65, 207.28, 64767
10699, 447.15, 186.65, 207.28, 64767
10700, 444.37, 192.50, 207.02, 43673
10701, 452.80, 174.54, 207.82, 21094
00502, 465.49, 224.20, 195.07, 299552
00509, 419.52, 141.80, 189.08, 82502
00829, 417.50, 156.32, 189.37, 12194
00845, 422.03, 137.18, 189.40, 56025
00837, 411.32, 147.53, 187.56, 14283
00518, 483.29, 255.52, 197.35, 217047
00853, 469.36, 271.10, 195.59, 39478
00870, 488.73, 246.74, 198.63, 150668
00861, 472.98, 281.85, 192.74, 26901
00703, 480.71, 312.65, 143.09, 388166
00016, 480.71, 312.65, 143.09, 388166
00583, 474.37, 257.84, 112.86, 54122
00942, 479.05, 309.81, 128.74, 137386
00952, 475.31, 301.56, 122.83, 108405
00966, 493.16, 340.64, 150.84, 28981
00131, 505.85, 291.64, 162.69, 32173
00295, 492.37, 326.56, 161.17, 81525
00303, 487.65, 320.58, 155.05, 44837
00311, 500.72, 322.51, 171.67, 24092
00451, 493.14, 355.60, 162.86, 12596
00319, 470.20, 351.73, 156.54, 63279
00327, 457.10, 363.16, 144.00, 17151
00334, 474.80, 347.48, 161.20, 46128
00780, 453.02, 334.30, 176.27, 19681
00623, 420.65, 278.38, 123.00, 2611527
00477, 426.04, 271.22, 122.69, 2141755
00485, 443.78, 241.98, 126.31, 1292245
00672, 443.78, 241.98, 126.31, 1292245
00493, 398.83, 342.11, 102.55, 436235
00056, 390.23, 320.41, 100.34, 244104
00998, 441.29, 333.66, 122.86, 21155
00754, 405.91, 374.13, 103.20, 170976
00481, 388.22, 371.25, 100.49, 11261
00489, 352.33, 306.35, 103.58, 1846
00144, 405.91, 374.13, 103.20, 170976
00458, 408.55, 379.11, 101.83, 58373
00465, 404.72, 373.97, 102.96, 54730
00473, 410.55, 371.36, 105.93, 44764
00275, 347.27, 237.08, 114.00, 194841
00242, 347.94, 239.69, 112.54, 169370
00250, 349.88, 201.11, 121.67, 50868
00258, 346.82, 255.86, 108.06, 113164
00266, 353.42, 264.79, 120.63, 5338
00310, 345.95, 213.26, 129.32, 20100
00333, 332.36, 243.86, 102.55, 5371
00278, 447.34, 333.13, 149.24, 218434
00023, 440.63, 356.75, 133.00, 33509
00292, 424.04, 359.18, 144.48, 3048
00536, 462.38, 312.29, 148.62, 65325
00544, 465.20, 319.85, 148.23, 26056
00551, 474.64, 296.18, 155.27, 10304
00559, 455.40, 311.21, 146.60, 28965
01105, 469.88, 336.13, 148.30, 11900
00403, 435.20, 340.20, 155.47, 85287
00411, 434.36, 338.28, 149.41, 36946
00418, 429.36, 360.31, 155.50, 21408
00426, 445.54, 322.88, 163.38, 21951
00472, 437.44, 325.32, 163.27, 9481
00480, 449.97, 323.18, 162.92, 5974
00487, 453.40, 319.05, 163.95, 6496
00435, 420.42, 344.28, 165.50, 4982
00803, 397.53, 311.00, 124.44, 469772
00818, 439.10, 273.14, 140.68, 108293
01022, 439.88, 270.92, 139.47, 91837
01031, 434.68, 285.54, 147.48, 16456
00835, 408.11, 338.93, 120.95, 184037
00342, 407.94, 336.27, 120.74, 165544
00298, 409.67, 362.72, 122.87, 18493
00826, 347.34, 311.31, 112.28, 86833
00904, 348.85, 325.36, 109.73, 75041
00564, 332.91, 285.17, 110.28, 29904
00596, 358.52, 351.99, 109.37, 45137
00581, 337.69, 221.88, 128.52, 11792
00809, 370.66, 299.24, 123.77, 90609
00351, 370.83, 299.36, 123.77, 89722
00359, 372.10, 301.91, 120.00, 48657
00537, 381.50, 296.23, 119.68, 14291
00498, 365.65, 300.27, 117.09, 16248
00505, 353.74, 308.60, 123.55, 2436
00513, 374.00, 321.75, 117.75, 1112
00546, 387.20, 288.06, 119.63, 797
00521, 359.75, 325.68, 122.90, 3617
00554, 380.88, 268.46, 119.77, 3363
00562, 383.69, 283.16, 123.26, 2591
00529, 368.61, 338.95, 126.62, 4202
00367, 369.29, 296.35, 128.23, 41065
00569, 365.04, 265.64, 121.88, 226
00578, 364.04, 290.61, 127.64, 21368
00585, 374.08, 308.79, 129.31, 15312
00594, 382.12, 302.10, 127.95, 2505
00602, 373.73, 250.78, 127.13, 1654
00287, 353.95, 286.84, 124.03, 887
00512, 423.51, 198.57, 250.29, 2832949
00528, 425.41, 195.17, 250.39, 2352899
00645, 366.06, 170.20, 251.26, 927367
00912, 337.59, 233.84, 247.55, 5302
10707, 336.61, 236.40, 247.86, 2974
10706, 337.59, 233.84, 247.55, 5302
10705, 338.84, 230.59, 247.15, 2328
00920, 354.43, 175.53, 238.70, 241854
00976, 346.98, 199.53, 233.76, 81510
10710, 346.55, 198.43, 233.18, 42119
10709, 346.98, 199.53, 233.76, 81510
10708, 346.89, 200.71, 234.38, 39391
00984, 358.15, 163.33, 241.22, 160344
10713, 357.93, 160.26, 240.62, 77155
10712, 358.15, 163.33, 241.22, 160344
10711, 358.98, 166.19, 241.78, 83189
00928, 379.98, 147.39, 247.11, 366397
00992, 379.98, 147.39, 247.11, 366397
10716, 379.98, 147.39, 247.11, 366397
10715, 379.98, 147.39, 247.11, 366397
10714, 379.98, 147.39, 247.11, 366397
01001, 379.98, 147.39, 247.11, 366397
10719, 379.98, 147.39, 247.11, 366397
10718, 379.98, 147.39, 247.11, 366397
10717, 379.98, 147.39, 247.11, 366397
01091, 379.98, 147.39, 247.11, 366397
10722, 382.27, 147.62, 246.32, 195106
10721, 379.98, 147.39, 247.11, 366397
10720, 377.38, 147.13, 248.00, 171291
00936, 365.93, 134.09, 266.93, 137469
10725, 366.11, 133.03, 266.32, 69251
10724, 365.93, 134.09, 266.93, 137469
10723, 365.75, 135.18, 267.54, 68218
00944, 350.73, 172.66, 273.56, 9068
10728, 353.03, 174.81, 273.83, 4445
10727, 350.73, 172.66, 273.56, 9068
10726, 348.53, 170.60, 273.34, 4622
00951, 349.11, 220.74, 270.93, 21873
10731, 349.43, 242.40, 272.20, 9402
10730, 349.11, 220.74, 270.93, 21873
10729, 348.43, 204.41, 269.97, 12471
00957, 352.23, 237.27, 268.38, 78806
10734, 351.77, 246.71, 267.70, 37600
10733, 352.23, 237.27, 268.38, 78806
10732, 352.64, 228.66, 269.01, 41206
00968, 355.44, 249.55, 257.92, 66598
10737, 355.46, 253.54, 258.28, 32910
10736, 355.44, 249.55, 257.92, 66598
10735, 356.16, 245.66, 257.57, 33688
01073, 466.39, 211.41, 249.83, 1425532
01007, 441.00, 154.72, 241.76, 333075
10674, 439.53, 153.56, 241.90, 184644
10673, 441.00, 154.72, 241.76, 333075
10672, 442.82, 156.17, 241.59, 148431
01017, 470.04, 181.72, 256.91, 504192
01056, 470.19, 174.13, 251.19, 210845
10677, 472.32, 176.04, 250.29, 77495
10676, 470.19, 174.13, 251.19, 210845
10675, 468.94, 173.03, 251.71, 133350
01064, 469.93, 187.18, 261.02, 293347
10680, 471.03, 194.18, 263.60, 110372
10679, 469.93, 187.18, 261.02, 293347
10678, 469.26, 182.95, 259.46, 182975
01025, 445.90, 234.33, 267.27, 129131
10683, 444.29, 235.07, 268.09, 55495
10682, 445.90, 234.33, 267.27, 129131
10681, 447.11, 233.77, 266.65, 73636
01033, 427.75, 243.99, 264.95, 117217
10686, 416.85, 243.91, 266.57, 43803
10685, 232.00, 214.20, 262.00, 5
10684, 434.32, 244.05, 263.98, 73409
01041, 511.82, 292.14, 237.02, 234960
10689, 511.00, 291.93, 237.37, 103428
10688, 511.82, 292.14, 237.02, 234960
10687, 512.48, 292.30, 236.74, 131532
01049, 497.99, 287.22, 232.13, 106954
